angle_past_threshold,angle_future_threshold,average_r_value,average_p_value,average_std_err,score,data_loss
235,55,0.8756721880323871,1.9674463975313365e-23,0.010621214602194333,0.5243411913592128,87.79342723004694
235,60,0.8751963790351829,1.3168828488514725e-25,0.010256550894701595,0.5240921723316395,88.26291079812206
245,55,0.8751187568299672,2.044825789166628e-23,0.010182799043299615,0.5240529741936503,88.28899321857068
195,60,0.8735258888288272,1.4420002025718974e-25,0.011300492472414759,0.5229854840500548,87.11528429838289
245,50,0.8713077377176794,1.8725165226883914e-21,0.010457996818689023,0.5217388429487387,87.84559207094418
245,60,0.8709706005959436,1.3622926847985495e-25,0.009849217482699818,0.5215974386092961,88.65414710485133
235,65,0.8707253602928122,1.1320616286870504e-27,0.010194204542759155,0.5214157957214114,88.68022952529995
200,50,0.8707909555101103,1.0218144581532609e-21,0.011688864002132369,0.5213056869058529,86.20239958268128
200,55,0.869975346253363,2.1699691411284294e-23,0.011568601438764776,0.5208283476081413,86.67188315075639
215,25,0.8701691066349088,1.3363582555951748e-12,0.014159057719146377,0.5206855582086297,84.87219613980177
230,65,0.8695437618730216,1.1268686854346616e-27,0.010483339037233733,0.5206779232200895,88.6280646844027
190,65,0.8693816351130246,1.355023072889451e-27,0.011519866495043824,0.5204769944183104,87.53260302556077
200,60,0.8688705918655573,1.2202586191428836e-25,0.011300054428108877,0.5201923496765235,87.16744913928012
235,50,0.8687116299898622,1.820969738270284e-21,0.010925442403581322,0.5201344337535592,87.24569640062599
210,30,0.8688538337952395,2.5359539777955954e-14,0.013389905457714105,0.5199733097313647,84.97652582159625
195,65,0.8681824111869312,1.3693173509697129e-27,0.011354163307588249,0.5197740303813998,87.66301512780386
190,60,0.8678531754730897,2.7783066609210857e-25,0.011483449137727303,0.5195635603700811,86.88054251434532
195,55,0.867569393869237,2.167609410304832e-23,0.011578122699993166,0.5193838240515428,86.5414710485133
240,55,0.8670097815234764,2.000276248699654e-23,0.010404608983948785,0.519165408015691,88.02816901408451
230,60,0.8670014199157724,2.7898196104406293e-25,0.010573798286804577,0.5191434721207829,88.05425143453313
205,45,0.865787581845523,2.114785047690282e-20,0.01181108849102037,0.5182914402582117,85.75899843505478
245,65,0.865274971010299,1.1839238542952596e-27,0.009872973861758777,0.5181776852200035,89.17579551382369
210,35,0.8653659654086359,5.353652124728351e-16,0.012716250514915976,0.5179479541936898,85.31559728742828
195,50,0.8651173066572865,1.045524345079719e-21,0.01169507667119236,0.5179008763272527,86.01982263954096
235,70,0.8646948130347399,3.516053561476303e-29,0.010224043741617207,0.5177944834466822,88.96713615023474
225,65,0.8642136668928887,1.0976074904536887e-27,0.010538498753166014,0.5174743502604165,88.3150756390193
240,50,0.8640762584922725,1.8216966619277074e-21,0.010661913601644044,0.5173795637351991,87.50652060511216
200,65,0.8641637230818797,1.0365292337219938e-27,0.011282399141744849,0.5173699939349534,87.63693270735524
230,55,0.8638213261114516,1.9303516958612357e-23,0.010949821453440766,0.5171978135215268,87.55868544600939
230,70,0.8634277819126706,3.50776091557947e-29,0.01050425373545384,0.5170062437740569,88.94105372978612
215,30,0.8637148588635645,2.572234512333204e-14,0.013309963452260543,0.5168979189729048,85.18518518518519
210,40,0.8633548128873755,3.954992360421711e-18,0.012152815331645363,0.5167976061992607,85.41992696922274
240,60,0.8628829550637143,2.8416337586935155e-25,0.010065327434313365,0.5167232402947972,88.39332290036516
195,70,0.862262157399916,3.9349302857341285e-29,0.01142411415692455,0.5162148830242571,88.00208659363588
210,25,0.8626268115658908,1.491633281011572e-12,0.014164114490417575,0.5161596754900452,84.55920709441837
200,45,0.8621983959066566,3.8344556920836935e-20,0.011959852568767275,0.5161230522871172,85.55033907146583
240,65,0.8617383404961764,1.1506200162157838e-27,0.009999752061407087,0.5160430290915651,88.86280646844027
195,85,0.8618025916443413,6.051815432430706e-35,0.01118947216067259,0.5159626077705374,88.96713615023474
225,60,0.8616310948220046,2.7243867412064943e-25,0.010638156520421896,0.5159148412411606,87.76734480959834
205,50,0.8613257645265462,8.344301190040796e-22,0.011595850812900743,0.5156358736346376,86.20239958268128
195,75,0.8606977616231706,8.848463589118179e-31,0.011445291426702014,0.5152741278312322,88.3150756390193
205,40,0.8606571788403705,4.510451005990681e-18,0.01207209614805291,0.5151870976894171,85.13302034428794
215,35,0.8599888289793045,5.430843483253055e-16,0.01264858339449802,0.5147284390481328,85.52425665101721
225,55,0.8592974443443004,1.875340236238587e-23,0.010979415635512335,0.514480525043029,87.19353155972874
190,70,0.8593092801148475,9.494922518996903e-29,0.011676514150164912,0.514417916653892,87.87167449139281
195,80,0.8591639619872149,6.947413275132686e-33,0.011302924440634443,0.5143680847482655,88.6280646844027
205,35,0.8593253745444288,5.272885449939278e-16,0.012618001440444705,0.5143334245826128,85.00260824204486
210,45,0.8589441389565372,2.134331609629279e-20,0.011950018844826932,0.5141714814894396,85.88941053729786
