timestamp [UTC],relative altitude [m],horizontal velocity [m/s],vertical velocity [m/s],distance to takeoff [km],longitude,latitude
12:25:30,0.0,1.39,0.0,0.0,7.530683,46.213083
12:25:31,1.0,0.0,1.0,0.0,7.5307,46.213083
12:25:32,0.0,0.0,-1.0,0.0,7.5307,46.213083
12:25:33,1.0,0.0,1.0,0.0,7.5307,46.213083
12:25:34,0.0,1.39,-1.0,0.0,7.5307,46.213083
12:25:35,0.0,0.0,0.0,0.0,7.530683,46.213083
12:25:36,0.0,0.0,0.0,0.0,7.530683,46.213083
12:25:37,0.0,0.0,0.0,0.0,7.530683,46.213083
12:25:38,0.0,0.0,0.0,0.0,7.530683,46.213083
12:25:39,0.0,1.39,0.0,0.0,7.530683,46.213083
12:25:40,0.0,1.11,0.0,0.0,7.530666,46.213083
12:25:41,0.0,0.0,0.0,0.0,7.53065,46.213083
12:25:42,0.0,1.39,0.0,0.0,7.53065,46.213083
12:25:43,-1.0,1.39,-1.0,0.01,7.530633,46.213083
12:25:44,-2.0,3.06,-1.0,0.01,7.530616,46.213083
12:25:45,0.0,3.06,2.0,0.01,7.530583,46.213066
12:25:46,-5.0,5.56,-5.0,0.02,7.53055,46.21305
12:25:47,-3.0,6.67,2.0,0.02,7.530483,46.213033
12:25:48,-5.0,8.61,-2.0,0.03,7.5304,46.213016
12:25:49,-5.0,7.5,0.0,0.04,7.5303,46.212983
12:25:50,-6.0,7.5,-1.0,0.05,7.530216,46.21295
12:25:51,-7.0,8.61,-1.0,0.05,7.530133,46.212916
12:25:52,-9.0,7.5,-2.0,0.06,7.530033,46.212883
12:25:53,-11.0,9.72,-2.0,0.07,7.52995,46.21285
12:25:54,-12.0,8.61,-1.0,0.08,7.529833,46.212816
12:25:55,-12.0,9.72,0.0,0.09,7.529733,46.212783
12:25:56,-12.0,8.06,0.0,0.1,7.529616,46.21275
12:25:57,-13.0,6.67,-1.0,0.1,7.529516,46.212733
12:25:58,-14.0,7.5,-1.0,0.11,7.529433,46.21275
12:25:59,-17.0,6.67,-3.0,0.11,7.52935,46.212783
12:26:00,-18.0,8.33,-1.0,0.11,7.5293,46.212833
12:26:01,-19.0,7.78,-1.0,0.11,7.52925,46.2129
12:26:02,-20.0,7.5,-1.0,0.11,7.529216,46.212966
12:26:03,-21.0,7.5,-1.0,0.12,7.5292,46.213033
12:26:04,-22.0,7.22,-1.0,0.12,7.529183,46.2131
12:26:05,-22.0,7.5,0.0,0.12,7.529183,46.213166
12:26:06,-22.0,5.56,0.0,0.12,7.529166,46.213233
12:26:07,-21.0,7.5,1.0,0.12,7.529166,46.213283
12:26:08,-20.0,5.83,1.0,0.12,7.529166,46.21335
12:26:09,-20.0,5.83,0.0,0.12,7.529183,46.2134
12:26:10,-20.0,7.5,0.0,0.12,7.5292,46.21345
12:26:11,-20.0,6.11,0.0,0.12,7.529216,46.213516
12:26:12,-19.0,7.5,1.0,0.13,7.52925,46.213566
12:26:13,-19.0,7.5,0.0,0.13,7.529266,46.213633
12:26:14,-19.0,5.83,0.0,0.13,7.529283,46.2137
12:26:15,-20.0,7.5,-1.0,0.13,7.5293,46.21375
12:26:16,-20.0,7.78,0.0,0.14,7.529316,46.213816
12:26:17,-20.0,9.44,0.0,0.14,7.52935,46.213883
12:26:18,-20.0,7.5,0.0,0.14,7.529383,46.213966
12:26:19,-20.0,7.78,0.0,0.15,7.5294,46.214033
12:26:20,-20.0,9.44,0.0,0.15,7.529433,46.2141
