angle_past_threshold,angle_future_threshold,average_r_value,average_p_value,average_std_err,score,data_loss
95,90,0.9935119943064352,2.219946985689494e-36,0.011212977349322414,0.5949858988489289,67.58293838862559
95,85,0.9934956854476609,1.8360439796302661e-34,0.011172153857136808,0.5949801958828829,67.26415094339623
90,95,0.9935445436465346,1.5058813627383243e-38,0.011484625539943309,0.5949782636339264,67.58293838862559
90,90,0.9934718299009581,2.1870465190417826e-36,0.011412113659287758,0.594941886574646,67.16981132075472
95,95,0.993438749884243,1.528223816191415e-38,0.011292360926052066,0.5949340138379405,67.9047619047619
75,75,0.9935057207510216,3.2435236465623384e-32,0.012069595916851346,0.5948964728589278,64.86238532110092
85,95,0.9934084174311222,3.1494442871771736e-37,0.011682460730251882,0.594876804385648,67.16981132075472
80,75,0.99311990448847,2.6184323101072196e-32,0.0118368256545326,0.5946882601276287,65.16129032258064
75,80,0.9931082539008079,2.698018255863806e-32,0.011983870661523177,0.5946665652743325,64.88479262672811
95,80,0.9929320889641359,1.614726247366293e-32,0.011139187538873224,0.5946453346245941,66.7605633802817
80,95,0.9930255237916366,1.0809092206936247e-37,0.011856594553757855,0.5946296548196062,66.57276995305165
95,75,0.9929040833256155,1.8669079094023093e-32,0.011145279322383767,0.5946279220631309,66.44859813084112
90,85,0.9928377946741322,1.8927774692371934e-34,0.011344895417355042,0.5945681872627439,66.57276995305165
85,75,0.9928190713992663,1.5640195702653e-32,0.011597011542576526,0.5945317416853021,65.46296296296296
85,90,0.9928134796198905,2.4616366969004734e-36,0.011574727340557289,0.5945306150378785,66.47887323943662
80,70,0.992839200097572,4.8750833125738853e-29,0.011980747022941976,0.594505445356249,64.77064220183486
85,70,0.992728898342789,2.1728552178499754e-29,0.011666246325073163,0.5944707143731661,65.16129032258064
80,80,0.992606878667082,2.063419974944824e-32,0.011763570825453682,0.5943877701177038,65.18518518518519
75,95,0.9926147226386767,3.3788899965451475e-33,0.01202027286413346,0.5943668062967926,65.88785046728972
70,80,0.9926572335710602,5.334833802789138e-30,0.012292910630880168,0.5943650490795481,64.03669724770641
90,70,0.9925013645315778,2.201965095742416e-29,0.011411437695260427,0.5943596749494207,65.46296296296296
90,75,0.9924890560987173,1.8214554875559753e-32,0.011345261027249568,0.5943589075565054,65.76744186046511
90,80,0.9924700944232068,1.1372873903045047e-32,0.011324439123545407,0.5943496127415695,66.07476635514018
80,90,0.9925364108239995,2.245843509013984e-36,0.0117595458762367,0.594345891906776,65.88785046728972
85,80,0.9924271540111629,1.1278076893816979e-32,0.01153802975497052,0.5943024894312007,65.58139534883722
75,85,0.9924892748344575,1.760585492468915e-32,0.011922300256263523,0.5943013348750481,64.9074074074074
95,70,0.9923119875827261,2.2380580666636347e-29,0.011155488871473678,0.5942716436624883,65.86046511627906
75,70,0.9925009702590347,8.429089029519557e-29,0.012570452378991157,0.5942435369175216,64.01826484018265
85,85,0.9923242244427208,3.068486465156404e-34,0.011519164722365234,0.594242618193396,65.88785046728972
80,85,0.9923305278628587,1.5222151940095795e-33,0.011726455942024094,0.5942256711235128,65.3953488372093
70,75,0.9924876831497758,5.928166491847292e-30,0.012681887457517426,0.5942244211441137,63.65296803652968
70,85,0.9922325383000652,5.3627627710659746e-30,0.01215832271224668,0.5941236907088144,64.14746543778801
75,90,0.992023212842969,5.77763657377216e-33,0.011912032814011528,0.5940227244243803,65.11627906976744
65,80,0.9921183947357505,1.1704194910622567e-27,0.012685799583777163,0.5940024568830725,63.10502283105023
70,95,0.9918704839839275,4.9396422519759736e-30,0.012242030120779962,0.5938980873782784,64.93023255813954
65,75,0.9919817533788394,1.1539454203413696e-27,0.013096857184154233,0.5938793663088883,62.727272727272734
65,85,0.9917140292086238,1.17916295301916e-27,0.012526095364325317,0.5937758079887417,63.211009174311926
70,90,0.9915457172427412,5.404394512592675e-30,0.012145463335464951,0.5937128840120982,64.25925925925927
65,90,0.9914761777967652,1.1970741937729818e-27,0.012313932237734674,0.5936543134542857,63.594470046082954
60,80,0.9916174162700975,8.574250528930587e-26,0.013311634504702985,0.5936392863115881,62.0
70,70,0.9915872413940315,1.0223448952791631e-28,0.013198952236360893,0.5936324496127828,62.81818181818182
65,95,0.991433067846469,1.0147667182646262e-27,0.012383592034614102,0.59362148150442,64.07407407407408
60,75,0.9915323839399779,8.452980037379988e-26,0.01373997394995061,0.5935454329689916,61.6289592760181
55,80,0.9914520978933787,9.028563069012818e-24,0.013948781215128119,0.5934763806145144,60.995475113122176
65,70,0.9913212164791007,1.2053236627890294e-27,0.013643869703005816,0.5934283429171597,61.990950226244344
55,75,0.9913919002954049,8.904601795476659e-24,0.014394504561098477,0.5933956897211331,60.630630630630634
60,85,0.9911792743085535,8.636231864679555e-26,0.013132399845086658,0.5933943246006234,62.10045662100456
50,80,0.9913047504053317,1.3725970136026463e-21,0.014371474248310964,0.5933457028183678,60.18018018018017
60,90,0.9909604084721918,8.762924743488116e-26,0.01289301139957838,0.5932869439433572,62.477064220183486
50,75,0.9912362580619535,1.3542141295026036e-21,0.014803075859834865,0.5932614472511886,59.82062780269059
55,85,0.9909777892078779,9.091904583587622e-24,0.013754500455303584,0.5932112234791963,61.09090909090909
