horizontal velocity [m/s],vertical velocity [m/s],airspeed [m/s],Cw [0.5],Ca [0.5],dynamic pressure [N/m^2],resultant pressure [N/m^2]
8.3,1.256578947368422,8.394581028912018,0.08066375971624201,0.5328031374764967,80.74492892904266,79575.96492892904
8.4,1.243243243243244,8.491504799614141,0.07710594906312301,0.5209680210612744,82.41790298469165,79577.63790298469
8.5,1.5714285714285725,8.644037699773298,0.09239116553285347,0.4997522135640707,87.62368401570552,79582.84368401571
8.8,1.3333333333333341,8.90043694308194,0.07181092339707482,0.4739520944206935,90.77733646988136,79585.99733646988
9.0,1.214285714285715,9.081546663202165,0.06156405067913277,0.45629825797474843,93.36446217581114,79588.58446217582
9.3,1.2439024390243911,9.382819047483055,0.05718367395930918,0.42753205648401127,99.57458357583903,79594.79458357584
9.4,1.1500000000000008,9.47008447691994,0.051418812052071966,0.420292898512588,100.55880227451019,79595.77880227451
9.5,1.2727272727272736,9.584875310130215,0.05488601572581697,0.4096849030962765,103.9264067689144,79599.14640676891
9.6,1.312000000000001,9.689238566574774,0.054770996847583936,0.4007633915676871,106.41620955151396,79601.63620955152
9.7,1.4925373134328368,9.81415649110963,0.059958673873481,0.3896714215037527,110.55930725933659,79605.77930725933
9.8,1.1666666666666674,9.869200125193082,0.04608787460480854,0.3871381466803915,108.935737521875,79604.15573752187
10.0,1.3283582089552248,10.087840974722923,0.04913673319863539,0.36990574430433354,115.02148751139545,79610.24148751139
10.1,1.357142857142858,10.19077213633461,0.04869563686289046,0.3623980553901424,117.5160535498153,79612.73605354982
10.2,1.3333333333333341,10.286776841060458,0.04651430528709209,0.35583443544625426,119.41199160408215,79614.63199160408
10.3,1.0769230769230775,10.356146161271068,0.03681933390290311,0.3521506292570517,118.58691525877917,79613.80691525879
10.4,1.2500000000000009,10.474850834260124,0.041300207078277494,0.3436177228912685,122.82522029855478,79618.04522029856
10.5,1.2804878048780497,10.57779036559344,0.04108434212428435,0.33689160541913143,125.42150535205884,79620.64150535206
10.6,1.2906976744186054,10.678291084567306,0.04025362711895378,0.3305874457805247,127.79765111730859,79623.0176511173
10.7,1.2500000000000009,10.772766589878385,0.03796767645685762,0.32500331047070097,129.57133539391552,79624.79133539392
10.8,1.2857142857142865,10.876261362457681,0.0379482122517645,0.31876498291482164,132.30179534101933,79627.52179534102
11.1,1.3888888888888897,11.186554981122606,0.037675946954478706,0.30110616806019364,140.61574188304326,79635.83574188304
11.2,1.2753623188405805,11.272379919268086,0.03381212658975051,0.29693194805180884,141.54109934246753,79636.76109934248
11.4,1.3793103448275872,11.483139685092592,0.03459121429448013,0.2858963861438781,147.70045870630116,79642.9204587063
11.5,1.1785714285714293,11.560234885686576,0.028969546135425284,0.28267254107899803,147.5199509434806,79642.73995094348
11.6,1.4594594594594603,11.691450804489822,0.034679479753573945,0.2756376427821098,153.67647398422227,79648.89647398422
11.7,1.3043478260869574,11.772481609729436,0.03035813684821448,0.27231248752848364,154.08855302572306,79649.30855302572
11.8,1.2500000000000009,11.866022922613963,0.028410587974902556,0.26819595048308,155.85813453452292,79651.07813453453
11.9,1.3214285714285723,11.973143842340983,0.02923511794706092,0.26327408918812684,159.33102951651637,79654.55102951651
12.0,1.4000000000000008,12.081390648431166,0.030148312713314585,0.2584141089712677,162.94292381445598,79658.16292381445
12.2,1.3076923076923086,12.26988423627532,0.02688251711422694,0.25079807143037586,166.81511675055623,79662.03511675056
12.5,1.3750000000000009,12.575397608028146,0.026255680539708514,0.23868800490644088,175.61778548316454,79670.83778548316
12.6,1.600000000000001,12.701181047445942,0.029653326562530374,0.23351994667992654,181.52908988441166,79676.74908988441
12.8,1.3359375000000009,12.86952714764246,0.023800392949939297,0.2280383848490089,183.10532981781566,79678.32532981782
12.9,1.5555555555555565,12.993450391886666,0.026927609832536465,0.22330682153982015,189.04842303426162,79684.26842303426
13.0,1.4893617021276604,13.0850371906145,0.025244167652254082,0.22034552050753192,190.82619667941978,79686.04619667942
13.1,1.2500000000000009,13.159502270222836,0.020829429765614842,0.2182924239436434,190.06631015195273,79685.28631015195
13.2,1.750000000000001,13.31549848860342,0.02814825764072362,0.21231828620431517,200.36063597025114,79695.58063597025
13.4,1.3125000000000009,13.464124785889352,0.020419762458219623,0.20847605100201355,199.37852699582766,79694.59852699583
13.5,1.7093023255813964,13.60778139302061,0.025759810856303647,0.2034499347222348,208.3101327845863,79703.53013278458
13.7,1.5000000000000009,13.781872151489432,0.021759673083750267,0.1987383474982523,210.84610567120654,79706.06610567121
13.8,1.238095238095239,13.855427810738798,0.017675837127628026,0.19701759998409996,209.71357806182934,79704.93357806183
13.9,1.9137931034482771,14.031129820609822,0.026308907516537243,0.19108325441290372,223.32763898668696,79718.54763898668
14.2,1.3636363636363646,14.265325237520223,0.01783771819838489,0.18575010550584786,223.46346678070685,79718.68346678071
14.3,1.0000000000000009,14.334922392534953,0.012891389177115103,0.18434686523274582,220.74992063772234,79715.96992063773
14.4,1.8695652173913055,14.52085652095218,0.02318727296189948,0.17859592569723495,237.78363432418337,79733.00363432418
14.5,1.0000000000000007,14.534441853748634,0.01236774952658228,0.17933236813544295,226.74819374986905,79721.96819374987
14.7,1.0000000000000007,14.733974345029925,0.01187205854914665,0.17451926067245563,232.82699929888017,79728.04699929888
14.8,1.5263157894736852,14.878495887998783,0.017597584804039192,0.1706358912722696,244.4899439850629,79739.70994398506
14.9,1.5925925925925937,14.984870742384828,0.017973449912771538,0.1681562534862322,248.74577410015786,79743.96577410016
15.0,1.6956521739130448,15.095536966100147,0.018718749423970133,0.16558893721204337,253.6680284891236,79748.88802848912
15.1,4.000000000000002,15.620819440733575,0.03985054925864464,0.15043582345138345,300.2969760515784,79795.51697605159
15.3,2.272727272727274,15.467879274683986,0.02332065584312881,0.15699465513594307,273.57960733737195,79768.79960733738
