horizontal velocity [m/s],vertical velocity [m/s]
8.3,-1.256578947368422
8.4,-1.243243243243244
8.5,-1.5714285714285725
8.8,-1.3333333333333341
9.0,-1.214285714285715
9.3,-1.2439024390243911
9.4,-1.1500000000000008
9.5,-1.2727272727272736
9.6,-1.312000000000001
9.7,-1.4925373134328368
9.8,-1.1666666666666674
10.0,-1.3283582089552248
10.1,-1.357142857142858
10.2,-1.3333333333333341
10.3,-1.0769230769230775
10.4,-1.2500000000000009
10.5,-1.2804878048780497
10.6,-1.2906976744186054
10.7,-1.2500000000000009
10.8,-1.2857142857142865
11.1,-1.3888888888888897
11.2,-1.2753623188405805
11.4,-1.3793103448275872
11.5,-1.1785714285714293
11.6,-1.4594594594594603
11.7,-1.3043478260869574
11.8,-1.2500000000000009
11.9,-1.3214285714285723
12.0,-1.4000000000000008
12.2,-1.3076923076923086
12.5,-1.3750000000000009
12.6,-1.600000000000001
12.8,-1.3359375000000009
12.9,-1.5555555555555565
13.0,-1.4893617021276604
13.1,-1.2500000000000009
13.2,-1.750000000000001
13.4,-1.3125000000000009
13.5,-1.7093023255813964
13.7,-1.5000000000000009
13.8,-1.238095238095239
13.9,-1.9137931034482771
14.2,-1.3636363636363646
14.3,-1.0000000000000009
14.4,-1.8695652173913055
14.5,-1.0000000000000007
14.7,-1.0000000000000007
14.8,-1.5263157894736852
14.9,-1.5925925925925937
15.0,-1.6956521739130448
15.1,-4.000000000000002
15.3,-2.272727272727274
