horizontal velocity [m/s],vertical velocity [m/s]
8.3,-2.0
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.0000000000000013
8.3,-3.0000000000000013
8.3,-1.000000000000001
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-2.000000000000001
8.3,-1.000000000000001
8.3,-2.000000000000001
8.3,-2.0000000000000013
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.000000000000001
8.3,-4.000000000000001
8.3,-1.0000000000000013
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.000000000000001
8.3,-2.000000000000001
8.3,-1.000000000000001
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.000000000000001
8.3,-3.0000000000000013
8.3,-2.0000000000000013
8.3,-2.0000000000000013
8.3,-3.0000000000000013
8.3,-1.000000000000001
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.000000000000001
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.3,-1.0000000000000007
8.3,-1.0000000000000009
8.3,-2.000000000000001
8.3,-1.000000000000001
8.3,-2.000000000000001
8.3,-2.000000000000001
8.3,-1.0000000000000009
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.4,-2.000000000000001
8.4,-1.0000000000000009
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.4,-2.000000000000001
8.4,-1.0000000000000009
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000007
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.4,-1.0000000000000009
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.4,-1.000000000000001
8.4,-2.000000000000001
8.4,-1.0000000000000009
8.4,-1.0000000000000007
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.4,-1.0000000000000009
8.4,-1.0000000000000007
8.4,-1.0000000000000009
8.4,-2.000000000000001
8.5,-1.000000000000001
8.5,-2.000000000000001
8.5,-2.0000000000000013
8.5,-2.000000000000001
8.5,-1.0000000000000009
8.5,-1.0000000000000009
8.5,-2.000000000000001
8.8,-2.000000000000001
8.8,-1.0000000000000009
8.8,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.000000000000001
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-2.0000000000000013
9.0,-2.0000000000000013
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.000000000000001
9.0,-2.000000000000001
9.0,-1.0000000000000009
9.0,-1.0000000000000007
9.0,-1.0000000000000007
9.0,-1.0000000000000009
9.0,-2.000000000000001
9.0,-1.0000000000000009
